cuisine,name
French,Le Crocodile Restaurant
Pizza,JOS
Korean,The Kitchen
Japanese,Bovine
Chicken Wings,Win Win Chick-N
American,"Juke Fried Chicken, Ribs and Cocktail Bar"
Vietnamese,District Eleven
Fish & Chips,Garry Point Grill & Fish 'n' Chips
Vietnamese,Pho Haven Restaurant
Breakfast & Brunch,1003 Brunch & Dessert
Thai,Sawasdee Thai Restaurant
Burgers,Romer's
Sandwiches,Saigon Bites
Chinese,Gokudo Shabu Shabu Restaurant
Cafes,Gigi Blin
Vietnamese,Viet House
Portuguese,Nando's Peri-Peri
Mexican,La Taqueria Pinche Taco Shop
Vietnamese,Pho Quynh Express
Burgers,Market Grill
Italian,Say Mercy
American,Gobble
Restaurants,Hadi's Restaurant
Vietnamese,Hai Chi Em Modern Vietnamese Restaurant 
Lebanese,Shawarma Palace
Chinese,Avery Cafe Restaurant
Sushi Bars,Fujiya
Persian/Iranian,Cazba Persian Grill
Coffee & Tea,Bubble Waffle Cafe
Chicken Shop,Downlow Chicken Shack
Seafood,Kam Tou Seafood Restaurant
Argentine,Empanada Gals
Vietnamese,Pho An Nam
Breakfast & Brunch,Twin Bridges Restaurant and Catering
Chinese,Szechuan Delicious
Noodles,China Lan Lanzhou Beef Noodle
Seafood,Blossom Seafood Restaurant
Vietnamese,Pho Lan
Vietnamese,Ong Ba
Korean,Man Ri Sung
Cafes,Feast & Fallow
Sushi Bars,Sushi Lovers
Cocktail Bars,District Bar & Restaurant
Chinese,Su Hang Restaurant
French,Au Comptoir
Seafood,Go Fish Ocean Emporium
Hakka,Chili Pepper House
Vietnamese,Lotus Pho Restaurant
French,L'Abattoir
